	Run #6	Run #6	Run #6	Run #6	Run #6
	Date and Time	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
	11/01/2020 02:14:01 pm	1.440	0.539	-0.59	11.6
	11/01/2020 02:14:01 pm	1.444	0.542	-0.44	6.6
	11/01/2020 02:14:01 pm	1.448	0.535	-0.40	-7.3
	11/01/2020 02:14:01 pm	1.452	0.538	-0.60	-19.4
	11/01/2020 02:14:01 pm	1.456	0.533	-0.61	-10.0
	11/01/2020 02:14:01 pm	1.460	0.530	-0.70	5.1
	11/01/2020 02:14:01 pm	1.464	0.528	-0.54	8.3
	11/01/2020 02:14:01 pm	1.468	0.526	-0.54	3.4
	11/01/2020 02:14:01 pm	1.472	0.524	-0.57	-5.1
	11/01/2020 02:14:01 pm	1.476	0.522	-0.59	-3.9
	11/01/2020 02:14:01 pm	1.480	0.519	-0.62	-0.5
	11/01/2020 02:14:01 pm	1.484	0.517	-0.59	0.2
	11/01/2020 02:14:01 pm	1.488	0.514	-0.58	-3.1
	11/01/2020 02:14:01 pm	1.492	0.512	-0.62	-5.5
	11/01/2020 02:14:01 pm	1.496	0.509	-0.66	-5.9
	11/01/2020 02:14:01 pm	1.500	0.507	-0.64	-12.0
	11/01/2020 02:14:01 pm	1.504	0.504	-0.70	-15.4
	11/01/2020 02:14:01 pm	1.508	0.502	-0.86	-6.1
	11/01/2020 02:14:01 pm	1.512	0.497	-0.81	8.7
	11/01/2020 02:14:01 pm	1.516	0.493	-0.68	8.8
	11/01/2020 02:14:01 pm	1.520	0.494	-0.67	-5.0
	11/01/2020 02:14:01 pm	1.524	0.489	-0.78	-8.7
	11/01/2020 02:14:01 pm	1.528	0.485	-0.83	-0.8
	11/01/2020 02:14:01 pm	1.532	0.483	-0.74	5.7
	11/01/2020 02:14:01 pm	1.536	0.480	-0.74	2.8
	11/01/2020 02:14:01 pm	1.540	0.476	-0.74	-3.1
	11/01/2020 02:14:01 pm	1.544	0.474	-0.76	-4.7
	11/01/2020 02:14:01 pm	1.548	0.471	-0.79	-2.4
	11/01/2020 02:14:01 pm	1.552	0.467	-0.80	1.5
	11/01/2020 02:14:01 pm	1.556	0.465	-0.76	1.2
	11/01/2020 02:14:01 pm	1.560	0.461	-0.76	-2.1
	11/01/2020 02:14:01 pm	1.564	0.458	-0.80	-3.9
	11/01/2020 02:14:01 pm	1.568	0.455	-0.80	-1.9
	11/01/2020 02:14:01 pm	1.572	0.452	-0.80	0.0
	11/01/2020 02:14:01 pm	1.576	0.449	-0.80	-1.0
	11/01/2020 02:14:01 pm	1.580	0.445	-0.81	-2.0
	11/01/2020 02:14:01 pm	1.584	0.442	-0.83	-1.8
	11/01/2020 02:14:01 pm	1.588	0.439	-0.83	0.2
	11/01/2020 02:14:01 pm	1.592	0.435	-0.82	2.3
	11/01/2020 02:14:01 pm	1.596	0.432	-0.80	1.0
	11/01/2020 02:14:01 pm	1.600	0.429	-0.80	-1.8
	11/01/2020 02:14:01 pm	1.604	0.426	-0.83	-2.5
	11/01/2020 02:14:01 pm	1.608	0.422	-0.84	0.1
