"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.163122813E0,-7.554002380E1,-9.045487404E0,1.255676270E0
3.173122760E0,-7.565308380E1,-9.031702042E0,1.084594727E0
3.183122760E0,-7.571160889E1,-9.122626305E0,1.083732605E0
3.193122708E0,-7.573094940E1,-9.106191635E0,1.160369873E0
3.203122760E0,-7.580559540E1,-9.020658493E0,1.104522705E0
3.213122708E0,-7.580687714E1,-9.144076347E0,1.026641846E0
3.223122760E0,-7.592199707E1,-9.219427109E0,9.689788818E-1
3.233122760E0,-7.603314209E1,-8.959359169E0,1.049087524E0
3.243122708E0,-7.616864777E1,-8.931794167E0,1.412704468E0
3.253122760E0,-7.609194946E1,-8.805880547E0,1.623870850E0
3.263124896E0,-7.595504761E1,-8.587604523E0,1.587783813E0
3.273170833E0,-7.589664459E1,-8.549210548E0,1.492553711E0
3.283296771E0,-7.587718201E1,-8.530587196E0,1.473609924E0
3.293385521E0,-7.599346924E1,-8.589460373E0,1.626113892E0
3.303492344E0,-7.595633698E1,-8.623657227E0,1.701858521E0
3.313600573E0,-7.599372101E1,-8.659574509E0,1.510719299E0
3.323688125E0,-7.602993774E1,-8.642077446E0,1.262985229E0
3.333802083E0,-7.602993011E1,-8.746915817E0,1.032638550E0
3.343122760E0,-7.614493561E1,-8.699844360E0,1.224624634E0
3.353122760E0,-7.614595795E1,-8.770621300E0,1.223747253E0
3.363122813E0,-7.566946411E1,-8.837991714E0,1.106170654E0
3.373122760E0,-7.536431122E1,-8.894915581E0,9.704360962E-1
3.383122760E0,-7.507862854E1,-8.848149300E0,1.122375488E0
3.393122760E0,-7.506328583E1,-8.990324974E0,1.368652344E0
3.403122760E0,-7.510221863E1,-9.027569771E0,1.406539917E0
3.413122760E0,-7.527458954E1,-8.983060837E0,1.617851257E0
3.423122708E0,-7.535063934E1,-9.090948105E0,1.349647522E0
3.433122708E0,-7.540646362E1,-9.057237625E0,1.216720581E0
3.443122708E0,-7.569369507E1,-9.087858200E0,1.332199097E0
3.453122708E0,-7.580496979E1,-8.845374107E0,1.392997742E0
3.463122656E0,-7.580456543E1,-8.949880600E0,1.105400085E0
3.473122708E0,-7.561299133E1,-8.958515167E0,9.517059326E-1
3.483122708E0,-7.540400696E1,-9.037662506E0,8.924865723E-1
3.493122708E0,-7.508027649E1,-9.164103508E0,6.794509888E-1
3.503156458E0,-7.502200317E1,-9.143292427E0,5.649185181E-1
3.513242448E0,-7.486949158E1,-9.154335976E0,5.449829102E-1
3.523309896E0,-7.496682739E1,-9.195029259E0,7.548828125E-1
3.533432813E0,-7.504752350E1,-9.429211617E0,9.050292969E-1
3.543533594E0,-7.516148376E1,-9.451147079E0,7.907714844E-1
3.553633333E0,-7.535035706E1,-9.352824211E0,7.356185913E-1
3.563734844E0,-7.535112762E1,-9.405906677E0,7.349624634E-1
3.573848646E0,-7.554000092E1,-9.272637367E0,7.565917969E-1
3.583122708E0,-7.542463684E1,-9.092226982E0,1.006423950E0
3.593122760E0,-7.544384766E1,-9.075681686E0,1.063980103E0
3.603122708E0,-7.543933868E1,-8.844659805E0,8.950653076E-1
3.613122708E0,-7.555227661E1,-8.795817375E0,7.816848755E-1
3.623122760E0,-7.551412201E1,-8.724289894E0,9.350891113E-1
3.633122708E0,-7.536135101E1,-8.700166702E0,9.537658691E-1
3.643122760E0,-7.556597137E1,-8.355160713E0,9.399337769E-1
3.653122760E0,-7.541411591E1,-8.244445801E0,1.284164429E0
3.663122708E0,-7.568251801E1,-8.344362259E0,1.284172058E0
3.673122760E0,-7.570340729E1,-8.399147987E0,1.436279297E0
3.683122760E0,-7.563144684E1,-8.731628418E0,1.355453491E0
3.693122708E0,-7.561403656E1,-8.837088585E0,1.373146057E0
3.703122760E0,-7.553900146E1,-8.939763069E0,1.333343506E0
3.713122760E0,-7.557664490E1,-8.906009674E0,1.333938599E0
3.723122708E0,-7.548342896E1,-9.078534126E0,1.274093628E0
3.733122760E0,-7.555767059E1,-9.167399406E0,7.770843506E-1
3.743180104E0,-7.521409607E1,-9.187520027E0,6.798019409E-1
3.753262865E0,-7.515943146E1,-9.327065468E0,7.541503906E-1
3.763412865E0,-7.515673828E1,-9.097591400E0,8.524322510E-1
3.773464844E0,-7.498320770E1,-9.088685036E0,5.845260620E-1
3.783566354E0,-7.505721283E1,-8.915232658E0,6.252059937E-1
3.793678490E0,-7.494248199E1,-8.875160217E0,6.633453369E-1
3.803793229E0,-7.475322723E1,-8.920732498E0,7.764129639E-1
3.813122708E0,-7.486579132E1,-8.696826935E0,9.896774292E-1
3.823122708E0,-7.492289734E1,-8.716642380E0,9.324340820E-1
3.833122760E0,-7.511111450E1,-8.705131531E0,5.898971558E-1
3.843122656E0,-7.499379730E1,-8.610426903E0,3.614959717E-1
3.853122708E0,-7.486011505E1,-8.517228127E0,5.338134766E-1
3.863122760E0,-7.466854095E1,-8.473443031E0,4.952926636E-1
3.873122760E0,-7.459157562E1,-8.452146530E0,4.379425049E-1
3.883122760E0,-7.443648529E1,-8.391085625E0,1.898574829E-1
3.893122760E0,-7.409883118E1,-8.695865631E0,3.562622070E-1
3.903122760E0,-7.410269928E1,-8.856442451E0,5.833129883E-1
3.913122760E0,-7.376094055E1,-8.808218956E0,9.067916870E-1
3.923122813E0,-7.364981842E1,-8.876082420E0,1.248985291E0
3.933122760E0,-7.370912170E1,-8.985143661E0,1.324249268E0
3.943122708E0,-7.352140808E1,-9.101935387E0,1.512779236E0
3.953122760E0,-7.363460541E1,-9.035841942E0,1.475959778E0
3.963122708E0,-7.331230927E1,-9.058660507E0,1.703208923E0
3.973136042E0,-7.332894135E1,-9.004957199E0,1.455833435E0
3.983327865E0,-7.317230988E1,-8.820256233E0,1.247451782E0
3.993295260E0,-7.339637756E1,-8.563765526E0,1.098999023E0
4.003414531E0,-7.339327240E1,-8.561110497E0,6.409454346E-1
4.013509740E0,-7.333177948E1,-8.380276680E0,3.947906494E-1
4.023620885E0,-7.335034180E1,-8.398124695E0,2.801361084E-1
4.033726302E0,-7.327505493E1,-8.413212776E0,3.941192627E-1
4.043825625E0,-7.363667297E1,-8.427970886E0,2.620162964E-1
4.053122760E0,-7.352180481E1,-8.405261040E0,2.426757812E-1
4.063122865E0,-7.369198608E1,-8.288978577E0,2.830886841E-1
4.073122708E0,-7.357505798E1,-8.159660339E0,1.887207031E-1
