Number	Name	Desig	Family	CS	Class	DiamS	DiamF	Diam	HS	HBand	H	GS	G	AlbS	AlbF	Albedo	PF	Period	PerDesc	AmpF	AmpMin	AmpMax	U	Pole	BIN	Notes
16638	1993 QN3	1993 QN3	MB-O	A	C	C		9.24	M		13.9	M	0.15	A		0.057		34.632				0.37	2	0		
16641	Esteban	1993 QH10	PHO	A	S	C		5.28	M		13.6	M	0.15	A		0.23		79.62			1.08	1.42	3-	0		
16642	1993 RK4	1993 RK4	MB-I	A	S	C		2.41	T		15.46	G	0.475	A		0.20		9.026			0.60	0.61	2	0		
16655	1993 TS33	1993 TS33	MB-I	A	S	C		3.26	M		14.8	M	0.15	A		0.20		3.12				0.17	2-	0		
16669	Rionuevo	1993 XK3	H	A	C	C		7.01	M		14.5	M	0.15	A		0.057		4.953			0.47	0.73	3	1		
16672	Bedini	1994 BA1	MB-I	A	S	C		3.31	T		14.77	G	0.270	A		0.20		9.540				0.35	2	0		
16679	1994 EQ2	1994 EQ2	MB-O	A	C	C		9.84	T		13.76	G	0.000	A		0.057		13.501				0.77	2	0		
16681	1994 EV7	1994 EV7	H	A	E	C		3.35	M		14.3	M	0.15	A		0.3		5.3147			0.81	1.12	3	0		
16682	Donati	1994 FB	FLOR	A	S	C		2.14	T		15.51	G	0.000	A		0.24		4.669				0.42	2	0		
16690	Fabritius	1994 UR6	FLOR	A	S	C		2.55	T		15.13	G	1.000	A		0.24		8.020				0.72	2	0		
16696	Villamayor	1995 BE7	NYSA	A	S	C		2.76	T		15.11	G	0.630	A		0.21		4.51			0.46	0.53	2	0		
16698	1995 CX	1995 CX	MB-I	A	C	C		11.11	M		13.5	M	0.15	A		0.057		52.8				0.20	2	0		
16721	1995 WF3	1995 WF3	MB-M	A	S	C		5.54	M		14.4	M	0.15	A		0.10		14.666				0.57	2	0		
16724	Ullilotzmann	1995 YV3	MC	A	S	L		6.55	L		14.0	L	0.15	L		0.103		3.42				0.16	3-	0		
16734	1996 HZ22	1996 HZ22	FLOR	A	S	C		2.93	T		14.83	G	0.635	A		0.24		8.339			0.40	0.57	2	0		
16743	1996 OQ	1996 OQ	NYSA	A	S	C		2.98	T		14.94	G	0.020	A		0.21		2.743			0.18	0.19	2	0		
16747	1996 PS8	1996 PS8	MB-I	A	S	C		2.82	T		15.11	G	0.200	A		0.20		2.873				0.26	2	0		
16754	1996 RW	1996 RW	MB-I	A	S	C		3.58	T		14.6	G	0.260	A		0.20		3.281				0.13	2	0		
16756	1996 RQ11	1996 RQ11	MB-I	A	S	C		3.51	T		14.64	G	0.200	A		0.20		5.519				0.32	2	0		
16765	Agnesi	1996 UA	EUN	A	S	C		3.84	T		14.39	G	0.570	A		0.21		7.546				0.31	2	0		
16773	1996 VO1	1996 VO1	EUN	A	S	C		7.99	M		12.8	M	0.15	A		0.21		5.345				0.45	3	0		
16776	1996 VA8	1996 VA8	MB-M	A	S	C		4.66	T		14.78	G	0.840	A		0.10		97.879				1.07	2	0		
16786	1997 AT1	1997 AT1	MB-O	A	C	C		16.75	T		12.61	G	1.000	A		0.057		4.023			0.50	0.52	2	1		
16790	Yuuzou	1997 AZ4	MB-O	A	C	C		8.47	T		14.09	G	0.665	A		0.057		8.576				0.38	2	0		
16801	Petrinpragensis	1997 SC2	MB-I	A	S	C		2.59	M		15.3	M	0.15	A		0.20		2.84				0.14	2	0		
16804	Bonini	1997 SX15	MB-I	A	S	C		6.50	M		13.3	M	0.15	A		0.20		10.8634				0.61	3	0		
16806	1997 SB34	1997 SB34	FLOR	A	S	C		4.11	M		14.1	M	0.15	A		0.24		23.449				0.75	2-	0		
16808	1997 TV26	1997 TV26	NYSA	A	S	C		3.82	M		14.4	M	0.15	A		0.21		20.43				0.81	2-	0		
16815	1997 UA9	1997 UA9	MB-I	A	S	C		8.57	M		12.7	M	0.15	A		0.20		2.9174			0.18	0.20	3-	0		
16816	1997 UF9	1997 UF9	NEA	A	S	C		1.71	M		16.2	M	0.15	A		0.20		2.449			0.10	0.12	2+	0		
16819	1997 VW	1997 VW	MB-M	A	S	C		9.09	T		13.32	G	0.000	A		0.10		274.922				0.50	2	0		
16825	1997 VC8	1997 VC8	MB-I	A	S	C		3.43	T		14.69	L	0.15	A		0.20		2.46				0.08	2	0		
16829	1997 WG7	1997 WG7	FLOR	A	S	C		2.47	M		15.2	M	0.15	A		0.24		2.02				0.08	2	0		
16831	1997 WM21	1997 WM21	FLOR	A	S	C		3.20	T		14.64	L	0.24	A		0.24		8.1072			0.14	0.16	2+	0		
16834	1997 WU22	1997 WU22	NEA	T	S	L		1.87	L		15.9	M	0.15	L		0.22		9.345			0.29	0.63	3	0		
16847	Sanpoloamosciano	1997 XK10	EUN	A	S	C		6.96	M		13.1	M	0.15	A		0.21		8.183			0.15	0.56	3	1		
16849	1997 YV	1997 YV	MB-I	A	S	C		3.26	M		14.8	M	0.15	A		0.20		6.0472				0.75	3	0		
16852	Nuredduna	1997 YP2	BAP	A	C	C		8.43	M		14.1	M	0.15	A		0.057		6.299			0.30	0.41	3	0		
16858	1997 YG10	1997 YG10	MB-I	A	S	C		4.34	T		14.18	G	0.610	A		0.20		5.232				0.24	2	0		
16864	1998 AL	1998 AL	ERI	A	C	C		6.69	M		14.6	M	0.15	A		0.057		19.166				0.31	2	0		
16872	1998 BZ	1998 BZ	FLOR	A	S	C		3.53	T		14.43	G	0.730	A		0.24		2.810				0.45	2	0		
16875	1998 BD4	1998 BD4	EUN	A	S	C		3.17	T		14.81	G	0.470	A		0.21		5.323				0.66	2	0		
16876	1998 BV6	1998 BV6	MB-O	A	C	C		8.84	T		14.0	G	0.840	A		0.057		25.940				0.38	2	0		
16879	Campai	1998 BH10	MB-O	A	C	C		10.61	T		13.6	G	0.485	A		0.057		314.247				0.68	2	0		
16880	1998 BW11	1998 BW11	MB-I	A	S	C		4.29	M		14.2	M	0.15	A		0.20		3.347				0.27	3	0		
16885	1998 BX25	1998 BX25	MB-O	A	C	C		10.97	T		13.53	G	0.925	A		0.057		4.992				0.36	2	0		
16886	1998 BC26	1998 BC26	MB-I	A	S	C		7.46	M		13.0	M	0.15	A		0.20		5.9908				0.18	3-	0		
16890	1998 BJ33	1998 BJ33	MB-I	A	S	C		5.78	T		13.56	G	0.770	A		0.20		57.555				0.97	2	0		
16892	Vaissiere	1998 DN1	THM	A	C	C		9.68	T		13.43	L	0.15	A		0.08		3.33				0.18	2	0		
16903	1998 DD15	1998 DD15	MB-M	A	S	C		4.46	T		14.87	G	0.745	A		0.10		14.862				0.62	2	0		
16908	Groeselenberg	1998 DD33	MB-I	A	S	C		4.30	M		14.2	M	0.15	A		0.20		5.338				0.20	2+	0		
16909	Miladejager	1998 DX33	KOR	A	S	C		5.41	T		13.5	G	0.480	A		0.24		6.786				0.38	2	0		
16917	1998 FB29	1998 FB29	KOR	A	S	C		4.63	T		13.84	G	0.600	A		0.24		321.546				0.69	2	0		
16923	1998 FB61	1998 FB61	THM	A	C	C		8.33	T		13.76	G	0.435	A		0.08		5.916			0.57	0.59	2	0		
16924	1998 FL61	1998 FL61	EOS	A	S	C		12.90	M		12.2	M	0.15	A		0.14		4.399				0.50	2	0		
16927	1998 FX68	1998 FX68	HIL	A	C	C		22.16	M		12.0	M	0.15	A		0.057		33.856				0.73	3	1		
16935	1998 FX111	1998 FX111	EOS	A	S	C		9.41	T		12.89	G	0.515	A		0.14		6.298			0.70	0.82	3	0		
16943	1998 HP42	1998 HP42	EUN	A	S	C		8.36	M		12.7	M	0.15	A		0.21		16.764				0.67	3-	0		
16950	1998 JQ	1998 JQ	FLOR	A	S	C		3.28	T		14.59	G	0.440	A		0.24		3.028				0.12	2	0		
16954	1998 KT48	1998 KT48	EUN	A	S	C		4.64	T		13.98	G	0.330	A		0.21		2.842				0.29	2	0		
16955	1998 KU48	1998 KU48	MB-I	A	S	C		7.62	T		12.95	G	0.675	A		0.20		5.2608			0.42	0.51	3	1		
16956	1998 MQ11	1998 MQ11	TR-J	A	C	C		40.33	M		10.7	M	0.15	A		0.057		8.84				0.28	2	0		
16959	1998 QE17	1998 QE17	MB-M	A	S	C		9.63	M		13.2	M	0.15	A		0.10		3.2266			0.30	0.45	3	0		
16974	Iphthime	1998 WR21	TR-J	A	C	D		55.36	M		9.9	M	0.15	D		0.0632		78.9				0.25	2+	0		
16977	1999 AS3	1999 AS3	V	A	S	C		4.40	T		14.15	G	0.400	A		0.20		50.070				0.25	2	0		
16979	1999 AO4	1999 AO4	MB-M	A	S	C		6.46	T		14.07	G	0.955	A		0.10		3.845				0.65	2	0		
17000	Medvedev	1999 CV48	FLOR	A	S	C		3.15	T		14.67	G	1.000	A		0.24		6.856			0.59	0.69	2	1		
17007	1999 CK65	1999 CK65	MB-I	A	S	D		3.94	D		14.39	L	0.24	A		0.20		11.144				0.18	3-	0		
17010	1999 CQ72	1999 CQ72	MB-M	A	S	C		8.78	M		13.4	M	0.15	A		0.10		15.781			0.63	1.00	3	0		
17014	1999 CY96	1999 CY96	MB-O	A	C	C		8.82	M		14.0	M	0.15	A		0.057		3.92				0.66	2	0		
17030	Sierks	1999 FC9	MB-O	A	C	C		10.57	T		13.61	G	0.570	A		0.057		416.198				0.31	2	0		
17035	Velichko	1999 FC10	V	A	V	C		4.19	M		13.5	M	0.15	A		0.4		2.899			0.23	0.29	2	0		
17038	Wake	1999 FO21	MB-M	A	S	C		5.31	T		14.49	G	0.385	A		0.10		17.658				0.23	2	0		
17060	Mikecombi	1999 GX7	EUN	A	S	L		5.11	L		14.02	L	0.24	L		0.1667		11.4				0.33	2-	0		
17068	1999 GO19	1999 GO19	MB-O	A	C	C		10.68	T		13.58	G	0.535	A		0.057		4.274				0.56	2	0		
17074	1999 GQ36	1999 GQ36	EUN	A	S	C		3.83	T		14.4	G	0.930	A		0.21		33.375				0.31	2	0		
17079	Lavrovsky	1999 HD9	V	A	S	C		3.92	M		14.4	M	0.15	A		0.20		4.18				0.45	2+	0		
17083	1999 JB4	1999 JB4	H	A	E	C		2.54	M		14.9	M	0.15	A		0.30		6.147				0.07	2+	0		
17100	Kamiokanatsu	1999 JT37	MB-O	A	C	C		7.90	T		14.24	G	1.000	A		0.057		7.065				0.18	2	0		
