"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.273964070E-1,8.199453354E-3,3.561973572E-3,-5.823258311E-2
9.324500000E-1,2.279698849E-3,-9.523391724E-3,-5.515025184E-2
9.375035940E-1,3.546893597E-3,5.626678467E-5,-5.908096582E-2
9.425571880E-1,1.661372185E-2,-1.181411743E-2,-6.422652304E-2
9.476107820E-1,1.062387228E-2,-5.777359009E-3,-5.146366730E-2
9.526643750E-1,1.177611947E-2,1.396179199E-3,-2.214220166E-2
9.577179690E-1,1.649510860E-2,3.762245178E-3,-3.823306412E-3
9.627715630E-1,1.166298985E-2,9.669303894E-3,6.079346873E-3
9.678251570E-1,4.436463118E-3,-9.404182434E-3,2.064831927E-2
9.728787500E-1,2.694708109E-2,-6.951332092E-3,2.558252774E-2
9.779323440E-1,2.315443754E-2,8.539199829E-3,3.046211600E-2
9.829859380E-1,2.184328437E-2,-4.587173462E-3,3.402047977E-2
9.880395840E-1,4.070809484E-2,-2.172470093E-3,2.459945157E-2
9.930931780E-1,2.975401282E-2,-3.337860107E-3,4.849391058E-2
9.981467710E-1,3.306040168E-2,-4.495620728E-3,4.370110482E-2
1.003200365E0,3.639987111E-2,-8.016586304E-3,6.028204784E-2
1.008253959E0,3.605952859E-2,2.733230591E-3,7.438201457E-2
1.013307553E0,2.036556602E-2,2.711296082E-3,7.882574946E-2
1.018361146E0,2.021929622E-2,-2.058982849E-3,8.671532571E-2
1.023414740E0,2.238783240E-2,3.318786621E-4,8.852867782E-2
1.028468334E0,3.295373917E-2,3.318786621E-4,7.844159752E-2
1.033521928E0,3.614273667E-2,1.512527466E-3,8.396130055E-2
1.038575521E0,3.696128726E-2,-2.064704895E-3,6.199506670E-2
1.043629115E0,3.311541677E-2,-8.592605591E-4,5.450323224E-2
1.048682709E0,2.329072356E-2,-8.525848389E-4,4.949175194E-2
1.053736303E0,2.786833048E-2,-9.154319763E-3,6.832671165E-2
1.058789896E0,4.310658574E-2,-7.677078247E-4,6.671801955E-2
1.063843490E0,3.794685006E-2,4.243850708E-4,7.104189694E-2
1.068897084E0,4.702967405E-2,-1.264190674E-2,7.176905125E-2
1.073950678E0,4.065012932E-2,5.268096924E-3,6.057562307E-2
1.079004271E0,3.426331282E-2,9.968757629E-3,6.119385362E-2
1.084057865E0,4.812508821E-2,3.946304321E-3,4.883988947E-2
1.089111459E0,5.359208584E-2,8.659362793E-3,4.374103248E-2
1.094165053E0,3.403958678E-2,9.771347046E-3,4.462110251E-2
1.099218646E0,5.146446824E-2,7.311820984E-3,3.488421440E-2
1.104272240E0,5.798479915E-2,4.870414734E-3,5.128464103E-2
1.109325834E0,5.614128709E-2,1.075935364E-2,5.557280779E-2
1.114379428E0,3.538051248E-2,-1.716613770E-5,5.990140513E-2
1.119433021E0,4.205003381E-2,-1.189327240E-2,5.711369962E-2
1.124486615E0,4.618391395E-2,-1.119613647E-3,5.186969787E-2
1.129540209E0,3.258314729E-2,-4.677772522E-3,2.770962566E-2
1.134593803E0,5.107104778E-2,1.078414917E-2,3.344075754E-2
1.139647396E0,4.560288787E-2,-9.495735168E-3,1.657129079E-2
1.144701042E0,4.025599360E-2,7.247924805E-5,1.177365240E-2
1.149754636E0,4.907751083E-2,1.247406006E-3,2.358544804E-2
1.154808230E0,2.461767197E-2,2.413749695E-3,3.301700577E-2
1.159861823E0,2.770978212E-2,4.757881165E-3,3.992225602E-2
1.164915417E0,3.659057617E-2,3.519058228E-3,4.670318961E-2
1.169969011E0,5.143845081E-2,1.297664642E-2,3.676787019E-2
1.175022605E0,4.004707932E-2,-1.983642578E-4,2.450938150E-2
1.180076198E0,4.054567218E-2,2.164840698E-3,-5.481770262E-3
1.185129792E0,3.636747599E-2,5.699157715E-3,2.915175166E-3
1.190183386E0,3.332036734E-2,-5.044937134E-3,-1.893381821E-3
1.195236980E0,3.264263272E-2,-8.576393127E-3,-3.023457713E-3
1.200290573E0,3.435975313E-2,1.166152954E-2,1.789709320E-3
1.205344167E0,3.239539266E-2,-3.885269165E-3,1.613705419E-2
1.210397761E0,2.466341853E-2,4.445075989E-3,1.368425228E-2
1.215451355E0,2.532044053E-2,-3.912925720E-3,1.358217932E-2
1.220504948E0,3.893902898E-2,4.414558411E-3,2.761423588E-3
1.225558542E0,3.591594100E-2,-1.581382751E-2,-3.229890484E-3
1.230612136E0,3.994959593E-2,-1.094913483E-2,-2.335565537E-2
1.235665730E0,2.147096395E-2,-1.840591431E-4,-1.963325776E-2
1.240719323E0,2.209407091E-2,3.365516663E-3,-2.779799886E-2
1.245772917E0,2.494996786E-2,-2.615928650E-3,-2.875512093E-2
1.250826511E0,1.726484299E-2,1.638793945E-2,-2.844406851E-2
1.255880105E0,1.673597097E-2,7.928848267E-3,-8.187843487E-4
1.260933698E0,2.438485622E-2,7.238388062E-4,-7.551703602E-4
1.265987292E0,1.536604762E-2,1.019763947E-2,1.543883816E-3
1.271040886E0,2.307170630E-2,2.973556519E-3,-1.863585226E-2
1.276094480E0,2.120140195E-2,-1.131153107E-2,-3.155923635E-2
1.281148125E0,8.647948503E-3,-5.298614502E-3,-4.087223858E-2
1.286201667E0,1.758155227E-2,-4.083633423E-3,-5.009201169E-2
1.291255313E0,2.523845434E-2,6.617546082E-3,-4.133658111E-2
1.296308907E0,2.688106894E-2,6.093978882E-4,-4.102811962E-2
1.301362500E0,1.186072826E-2,5.874633789E-4,-3.942825645E-2
1.306416094E0,4.148483276E-3,4.127502441E-3,-2.475267462E-2
1.311469688E0,2.378800511E-2,7.638931274E-3,-2.216091193E-2
1.316523282E0,1.471364498E-2,4.358291626E-4,-2.076269686E-2
1.321576875E0,-1.599788666E-4,4.148483276E-4,-2.885760181E-2
1.326630469E0,1.472187042E-2,-9.102821350E-3,-3.804284334E-2
1.331684063E0,1.772990823E-2,-9.041786194E-3,-5.197354406E-2
1.336737657E0,5.220443010E-3,1.119804382E-2,-5.734539777E-2
1.341791250E0,1.651135087E-2,5.152702332E-3,-4.026840627E-2
1.346844844E0,1.349344850E-2,1.933860779E-2,-4.211363196E-2
1.351898438E0,8.081167936E-3,1.203823090E-2,-2.501033992E-2
1.356952032E0,1.526921988E-3,1.548004150E-2,-2.575218491E-2
1.362005625E0,1.157075167E-2,1.177024841E-2,-1.828521490E-2
1.367059219E0,6.098777056E-3,-2.593040466E-3,-1.926324144E-2
1.372112813E0,-4.540681839E-4,-2.145767212E-4,-2.253352851E-2
