"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.095254167E0,-4.287195206E1,-4.884555817E0,-2.180560303E1
3.105254375E0,-4.281457901E1,-4.899465561E0,-2.186331177E1
3.115254271E0,-4.289167786E1,-4.885926247E0,-2.171009064E1
3.125254375E0,-4.315956879E1,-4.950454235E0,-2.170964813E1
3.135254375E0,-4.314215469E1,-5.090859890E0,-2.176873779E1
3.145254375E0,-4.317838287E1,-5.003469944E0,-2.186291504E1
3.155254323E0,-4.317889404E1,-5.056331635E0,-2.190174866E1
3.165254375E0,-4.304764938E1,-5.192385197E0,-2.186588287E1
3.175254428E0,-4.300962448E1,-5.138441563E0,-2.173178101E1
3.185254375E0,-4.300859833E1,-5.050190926E0,-2.169251251E1
3.195254428E0,-4.302369690E1,-4.768009186E0,-2.166983795E1
3.205254375E0,-4.283405304E1,-4.830722332E0,-2.165242004E1
3.215254428E0,-4.283148575E1,-4.653778553E0,-2.165022278E1
3.225254323E0,-4.273711014E1,-4.737941742E0,-2.168988037E1
3.235259167E0,-4.287027740E1,-4.778278828E0,-2.182336426E1
3.245365521E0,-4.320948029E1,-4.509773254E0,-2.183752441E1
3.255472553E0,-4.309731293E1,-4.611698151E0,-2.172480011E1
3.265581198E0,-4.338326263E1,-4.553846836E0,-2.160823059E1
3.275687813E0,-4.340761948E1,-4.838769913E0,-2.143988800E1
3.285790053E0,-4.353757477E1,-4.701609612E0,-2.166661072E1
3.295902240E0,-4.360913086E1,-4.473635674E0,-2.187338257E1
3.305999428E0,-4.383899689E1,-4.484220028E0,-2.173883820E1
3.315254271E0,-4.385640717E1,-4.378760338E0,-2.175653076E1
3.325254375E0,-4.391364288E1,-4.416159153E0,-2.183307648E1
3.335254375E0,-4.415769196E1,-4.231153011E0,-2.200141144E1
3.345254323E0,-4.409941864E1,-4.210342407E0,-2.211594391E1
3.355254323E0,-4.396226501E1,-3.939425468E0,-2.207503510E1
3.365254375E0,-4.390517044E1,-3.779825687E0,-2.171067047E1
3.375254271E0,-4.383528137E1,-4.149022579E0,-2.156290436E1
3.385254375E0,-4.356687546E1,-4.049105644E0,-2.156291199E1
3.395254323E0,-4.349364090E1,-4.223221779E0,-2.148907471E1
3.405254375E0,-4.337954712E1,-4.236121655E0,-2.147068024E1
3.415254323E0,-4.309566498E1,-4.330689430E0,-2.135866547E1
3.425254375E0,-4.290498352E1,-4.409990788E0,-2.153231812E1
3.435254375E0,-4.302086639E1,-4.608316898E0,-2.174420166E1
3.445254428E0,-4.302291870E1,-4.767344952E0,-2.178434753E1
